district_id,district_name,county,enrollment
014908,SALADO ISD,BELL COUNTY,2429
014909,TEMPLE ISD,BELL COUNTY,8764
014910,TROY ISD,BELL COUNTY,1732
015814,POSITIVE SOLUTIONS CHARTER SCHOOL,BEXAR COUNTY,93
015839,PROMESA ACADEMY CHARTER SCHOOL,BEXAR COUNTY,248
015843,PRELUDE PREPARATORY CHARTER SCHOOL,BEXAR COUNTY,162
015844,ESSENCE PREPARATORY CHARTER SCHOOL,BEXAR COUNTY,365
015901,ALAMO HEIGHTS ISD,BEXAR COUNTY,4749
015904,HARLANDALE ISD,BEXAR COUNTY,11546
015905,EDGEWOOD ISD,BEXAR COUNTY,7849
015906,RANDOLPH FIELD ISD,BEXAR COUNTY,1427
015907,SAN ANTONIO ISD,BEXAR COUNTY,44047
015908,SOUTH SAN ANTONIO ISD,BEXAR COUNTY,7468
015909,SOMERSET ISD,BEXAR COUNTY,4259
015910,NORTH EAST ISD,BEXAR COUNTY,56420
015911,EAST CENTRAL ISD,BEXAR COUNTY,11497
015912,SOUTHWEST ISD,BEXAR COUNTY,14833
015913,LACKLAND ISD,BEXAR COUNTY,1010
015914,FT SAM HOUSTON ISD,BEXAR COUNTY,1617
015915,NORTHSIDE ISD,BEXAR COUNTY,100208
015916,JUDSON ISD,BEXAR COUNTY,23539
015917,SOUTHSIDE ISD,BEXAR COUNTY,6091
016901,JOHNSON CITY ISD,BLANCO COUNTY,707
016902,BLANCO ISD,BLANCO COUNTY,1102
017901,BORDEN COUNTY ISD,BORDEN COUNTY,249
018901,CLIFTON ISD,BOSQUE COUNTY,1001
018902,MERIDIAN ISD,BOSQUE COUNTY,382
018903,MORGAN ISD,BOSQUE COUNTY,137
018904,VALLEY MILLS ISD,BOSQUE COUNTY,669
018905,WALNUT SPRINGS ISD,BOSQUE COUNTY,165
018906,IREDELL ISD,BOSQUE COUNTY,144
018907,KOPPERL ISD,BOSQUE COUNTY,191
018908,CRANFILLS GAP ISD,BOSQUE COUNTY,116
019901,DEKALB ISD,BOWIE COUNTY,898
019902,HOOKS ISD,BOWIE COUNTY,914
019903,MAUD ISD,BOWIE COUNTY,450
019905,NEW BOSTON ISD,BOWIE COUNTY,1108
019906,REDWATER ISD,BOWIE COUNTY,1103
019907,TEXARKANA ISD,BOWIE COUNTY,7269
019908,LIBERTY-EYLAU ISD,BOWIE COUNTY,1937
019909,SIMMS ISD,BOWIE COUNTY,480
019910,MALTA ISD,BOWIE COUNTY,223
019911,RED LICK ISD,BOWIE COUNTY,504
019912,PLEASANT GROVE ISD,BOWIE COUNTY,2366
019913,HUBBARD ISD,BOWIE COUNTY,64
019914,LEARY ISD,BOWIE COUNTY,119
020901,ALVIN ISD,BRAZORIA COUNTY,30038
020902,ANGLETON ISD,BRAZORIA COUNTY,7105
020904,DANBURY ISD,BRAZORIA COUNTY,674
020905,BRAZOSPORT ISD,BRAZORIA COUNTY,11169
020906,SWEENY ISD,BRAZORIA COUNTY,1919
020907,COLUMBIA-BRAZORIA ISD,BRAZORIA COUNTY,2871
020908,PEARLAND ISD,BRAZORIA COUNTY,20862
020910,DAMON ISD,BRAZORIA COUNTY,107
021901,COLLEGE STATION ISD,BRAZOS COUNTY,14314
021902,BRYAN ISD,BRAZOS COUNTY,16044
022004,TERLINGUA CSD,BREWSTER COUNTY,121
022901,ALPINE ISD,BREWSTER COUNTY,905
022902,MARATHON ISD,BREWSTER COUNTY,58
022903,SAN VICENTE ISD,BREWSTER COUNTY,9
023902,SILVERTON ISD,BRISCOE COUNTY,204
024901,BROOKS COUNTY ISD,BROOKS COUNTY,1180
025901,BANGS ISD,BROWN COUNTY,793
025902,BROWNWOOD ISD,BROWN COUNTY,3393
025904,BLANKET ISD,BROWN COUNTY,166
025905,MAY ISD,BROWN COUNTY,243
025906,ZEPHYR ISD,BROWN COUNTY,220
025908,BROOKESMITH ISD,BROWN COUNTY,227
025909,EARLY ISD,BROWN COUNTY,1067
026901,CALDWELL ISD,BURLESON COUNTY,1952
026902,SOMERVILLE ISD,BURLESON COUNTY,567
026903,SNOOK ISD,BURLESON COUNTY,609
027903,BURNET CISD,BURNET COUNTY,3209
027904,MARBLE FALLS ISD,BURNET COUNTY,4001
028902,LOCKHART ISD,CALDWELL COUNTY,6753
028903,LULING ISD,CALDWELL COUNTY,1443
028906,PRAIRIE LEA ISD,CALDWELL COUNTY,267
029901,CALHOUN COUNTY ISD,CALHOUN COUNTY,3514
030901,CROSS PLAINS ISD,CALLAHAN COUNTY,365
030902,CLYDE CISD,CALLAHAN COUNTY,1392
030903,BAIRD ISD,CALLAHAN COUNTY,348
030906,EULA ISD,CALLAHAN COUNTY,503
031901,BROWNSVILLE ISD,CAMERON COUNTY,36140
031903,HARLINGEN CISD,CAMERON COUNTY,16471
031905,LA FERIA ISD,CAMERON COUNTY,2842
031906,LOS FRESNOS CISD,CAMERON COUNTY,10357
031909,POINT ISABEL ISD,CAMERON COUNTY,1786
031911,RIO HONDO ISD,CAMERON COUNTY,1437
031912,SAN BENITO CISD,CAMERON COUNTY,9073
031913,SANTA MARIA ISD,CAMERON COUNTY,512
031914,SANTA ROSA ISD,CAMERON COUNTY,874
031916,SOUTH TEXAS ISD,CAMERON COUNTY,4639
032902,PITTSBURG ISD,CAMP COUNTY,2245
033901,GROOM ISD,CARSON COUNTY,130
033902,PANHANDLE ISD,CARSON COUNTY,620
033904,WHITE DEER ISD,CARSON COUNTY,322
034901,ATLANTA ISD,CASS COUNTY,1929
034902,AVINGER ISD,CASS COUNTY,112
034903,HUGHES SPRINGS ISD,CASS COUNTY,1090
034905,LINDEN-KILDARE CISD,CASS COUNTY,617
034906,MCLEOD ISD,CASS COUNTY,424
034907,QUEEN CITY ISD,CASS COUNTY,867
034909,BLOOMBURG ISD,CASS COUNTY,229
035901,DIMMITT ISD,CASTRO COUNTY,1077
035902,HART ISD,CASTRO COUNTY,206
035903,NAZARETH ISD,CASTRO COUNTY,243
036901,ANAHUAC ISD,CHAMBERS COUNTY,1552
036902,BARBERS HILL ISD,CHAMBERS COUNTY,7875
036903,EAST CHAMBERS ISD,CHAMBERS COUNTY,1562
037901,ALTO ISD,CHEROKEE COUNTY,505
037904,JACKSONVILLE ISD,CHEROKEE COUNTY,4700
037907,RUSK ISD,CHEROKEE COUNTY,2057
037908,NEW SUMMERFIELD ISD,CHEROKEE COUNTY,526
037909,WELLS ISD,CHEROKEE COUNTY,239
038901,CHILDRESS ISD,CHILDRESS COUNTY,978
039902,HENRIETTA ISD,CLAY COUNTY,886
039903,PETROLIA CISD,CLAY COUNTY,510
039904,BELLEVUE ISD,CLAY COUNTY,234
039905,MIDWAY ISD,CLAY COUNTY,137
040901,MORTON ISD,COCHRAN COUNTY,368
040902,WHITEFACE CISD,COCHRAN COUNTY,298
041901,BRONTE ISD,COKE COUNTY,232
041902,ROBERT LEE ISD,COKE COUNTY,269
042901,COLEMAN ISD,COLEMAN COUNTY,796
042903,SANTA ANNA ISD,COLEMAN COUNTY,259
042905,PANTHER CREEK CISD,COLEMAN COUNTY,163
043901,ALLEN ISD,COLLIN COUNTY,20838
043902,ANNA ISD,COLLIN COUNTY,6038
043903,CELINA ISD,COLLIN COUNTY,5324
043904,FARMERSVILLE ISD,COLLIN COUNTY,2397
043905,FRISCO ISD,COLLIN COUNTY,65289
043907,MCKINNEY ISD,COLLIN COUNTY,23296
043908,MELISSA ISD,COLLIN COUNTY,7735
043910,PLANO ISD,COLLIN COUNTY,46612
043911,PRINCETON ISD,COLLIN COUNTY,9956
043912,PROSPER ISD,COLLIN COUNTY,31651
043914,WYLIE ISD,COLLIN COUNTY,19401
043917,BLUE RIDGE ISD,COLLIN COUNTY,1048
043918,COMMUNITY ISD,COLLIN COUNTY,5271
043919,LOVEJOY ISD,COLLIN COUNTY,4019
044902,WELLINGTON ISD,COLLINGSWORTH COUNTY,534
045902,COLUMBUS ISD,COLORADO COUNTY,1659
045903,RICE CISD,COLORADO COUNTY,1306
045905,WEIMAR ISD,COLORADO COUNTY,732
046802,TRINITY CHARTER SCHOOL,COMAL COUNTY,315
046901,NEW BRAUNFELS ISD,COMAL COUNTY,9893
046902,COMAL ISD,COMAL COUNTY,29839
047901,COMANCHE ISD,COMANCHE COUNTY,1378
047902,DE LEON ISD,COMANCHE COUNTY,654
047903,GUSTINE ISD,COMANCHE COUNTY,136
047905,SIDNEY ISD,COMANCHE COUNTY,106
048901,EDEN CISD,CONCHO COUNTY,222
048903,PAINT ROCK ISD,CONCHO COUNTY,299
049901,GAINESVILLE ISD,COOKE COUNTY,3111
049902,MUENSTER ISD,COOKE COUNTY,570
049903,VALLEY VIEW ISD,COOKE COUNTY,851
049905,CALLISBURG ISD,COOKE COUNTY,1151
049906,ERA ISD,COOKE COUNTY,499
049907,LINDSAY ISD,COOKE COUNTY,507
049908,WALNUT BEND ISD,COOKE COUNTY,73
049909,SIVELLS BEND ISD,COOKE COUNTY,62
050901,EVANT ISD,CORYELL COUNTY,198
050902,GATESVILLE ISD,CORYELL COUNTY,2668
050904,OGLESBY ISD,CORYELL COUNTY,237
050909,JONESBORO ISD,CORYELL COUNTY,337
050910,COPPERAS COVE ISD,CORYELL COUNTY,7761
051901,PADUCAH ISD,COTTLE COUNTY,156
052901,CRANE ISD,CRANE COUNTY,1233
053001,CROCKETT COUNTY CONSOLIDATED CSD,CROCKETT COUNTY,621
054901,CROSBYTON CISD,CROSBY COUNTY,316
054902,LORENZO ISD,CROSBY COUNTY,207
054903,RALLS ISD,CROSBY COUNTY,370
055901,CULBERSON COUNTY-ALLAMOORE ISD,CULBERSON COUNTY,381
056901,DALHART ISD,DALLAM COUNTY,1846
056902,TEXLINE ISD,DALLAM COUNTY,225
057828,WINFREE ACADEMY CHARTER SCHOOLS,DALLAS COUNTY,1098
057831,GATEWAY CHARTER ACADEMY,DALLAS COUNTY,511
057834,EVOLUTION ACADEMY CHARTER SCHOOL,DALLAS COUNTY,629
057835,GOLDEN RULE CHARTER SCHOOL,DALLAS COUNTY,1298
057903,CARROLLTON-FARMERS BRANCH ISD,DALLAS COUNTY,24165
057904,CEDAR HILL ISD,DALLAS COUNTY,6253
057905,DALLAS ISD,DALLAS COUNTY,139802
057906,DESOTO ISD,DALLAS COUNTY,5708
057907,DUNCANVILLE ISD,DALLAS COUNTY,11562
057909,GARLAND ISD,DALLAS COUNTY,51021
057910,GRAND PRAIRIE ISD,DALLAS COUNTY,26129
057911,HIGHLAND PARK ISD,DALLAS COUNTY,6350
057912,IRVING ISD,DALLAS COUNTY,30767
057913,LANCASTER ISD,DALLAS COUNTY,6822
057914,MESQUITE ISD,DALLAS COUNTY,37930
057916,RICHARDSON ISD,DALLAS COUNTY,36971
057919,SUNNYVALE ISD,DALLAS COUNTY,2306
057922,COPPELL ISD,DALLAS COUNTY,13233
058902,DAWSON ISD,DAWSON COUNTY,140
058905,KLONDIKE ISD,DAWSON COUNTY,261
058906,LAMESA ISD,DAWSON COUNTY,1484
058909,SANDS CISD,DAWSON COUNTY,232
059901,HEREFORD ISD,DEAF SMITH COUNTY,3964
059902,WALCOTT ISD,DEAF SMITH COUNTY,146
060902,COOPER ISD,DELTA COUNTY,903
060914,FANNINDEL ISD,DELTA COUNTY,141
061901,DENTON ISD,DENTON COUNTY,33329
061902,LEWISVILLE ISD,DENTON COUNTY,47876
061903,PILOT POINT ISD,DENTON COUNTY,1619
061905,KRUM ISD,DENTON COUNTY,2542
061906,PONDER ISD,DENTON COUNTY,1719
061907,AUBREY ISD,DENTON COUNTY,4480
061908,SANGER ISD,DENTON COUNTY,2880
061910,ARGYLE ISD,DENTON COUNTY,6166
061911,NORTHWEST ISD,DENTON COUNTY,32098
061912,LAKE DALLAS ISD,DENTON COUNTY,3717
061914,LITTLE ELM ISD,DENTON COUNTY,8036
062901,CUERO ISD,DEWITT COUNTY,1888
062902,NORDHEIM ISD,DEWITT COUNTY,116
062903,YOAKUM ISD,DEWITT COUNTY,1458
062904,YORKTOWN ISD,DEWITT COUNTY,574
062905,WESTHOFF ISD,DEWITT COUNTY,85
062906,MEYERSVILLE ISD,DEWITT COUNTY,176
063903,SPUR ISD,DICKENS COUNTY,192
063906,PATTON SPRINGS ISD,DICKENS COUNTY,88
064903,CARRIZO SPRINGS CISD,DIMMIT COUNTY,1852
065901,CLARENDON ISD,DONLEY COUNTY,401
065902,HEDLEY ISD,DONLEY COUNTY,95
066005,RAMIREZ CSD,DUVAL COUNTY,36
066901,BENAVIDES ISD,DUVAL COUNTY,148
066902,SAN DIEGO ISD,DUVAL COUNTY,1453
066903,FREER ISD,DUVAL COUNTY,709
067902,CISCO ISD,EASTLAND COUNTY,835
067903,EASTLAND ISD,EASTLAND COUNTY,969
067904,GORMAN ISD,EASTLAND COUNTY,242
067907,RANGER ISD,EASTLAND COUNTY,288
067908,RISING STAR ISD,EASTLAND COUNTY,181
068802,COMPASS ACADEMY CHARTER SCHOOL,ECTOR COUNTY,1558
068901,ECTOR COUNTY ISD,ECTOR COUNTY,33663
069901,ROCKSPRINGS ISD,EDWARDS COUNTY,200
069902,NUECES CANYON CISD,EDWARDS COUNTY,240
070901,AVALON ISD,ELLIS COUNTY,347
070903,ENNIS ISD,ELLIS COUNTY,6646
070905,FERRIS ISD,ELLIS COUNTY,3010
070907,ITALY ISD,ELLIS COUNTY,597
070908,MIDLOTHIAN ISD,ELLIS COUNTY,11356
070909,MILFORD ISD,ELLIS COUNTY,258
070910,PALMER ISD,ELLIS COUNTY,1352
070911,RED OAK ISD,ELLIS COUNTY,6696
070912,WAXAHACHIE ISD,ELLIS COUNTY,11196
070915,MAYPEARL ISD,ELLIS COUNTY,1209
071801,BURNHAM WOOD CHARTER SCHOOL DISTRICT,EL PASO COUNTY,1744
071809,VISTA DEL FUTURO CHARTER SCHOOL,EL PASO COUNTY,367
071901,CLINT ISD,EL PASO COUNTY,10077
071902,EL PASO ISD,EL PASO COUNTY,48118
071903,FABENS ISD,EL PASO COUNTY,1865
071904,SAN ELIZARIO ISD,EL PASO COUNTY,2927
071905,YSLETA ISD,EL PASO COUNTY,34062
071906,ANTHONY ISD,EL PASO COUNTY,725
071907,CANUTILLO ISD,EL PASO COUNTY,5747
071908,TORNILLO ISD,EL PASO COUNTY,726
071909,SOCORRO ISD,EL PASO COUNTY,46668
072901,THREE WAY ISD,ERATH COUNTY,212
072902,DUBLIN ISD,ERATH COUNTY,1125
072903,STEPHENVILLE ISD,ERATH COUNTY,3578
072904,BLUFF DALE ISD,ERATH COUNTY,219
072908,HUCKABAY ISD,ERATH COUNTY,327
072909,LINGLEVILLE ISD,ERATH COUNTY,270
072910,MORGAN MILL ISD,ERATH COUNTY,127
073901,CHILTON ISD,FALLS COUNTY,566
073903,MARLIN ISD,FALLS COUNTY,843
073904,WESTPHALIA ISD,FALLS COUNTY,159
073905,ROSEBUD-LOTT ISD,FALLS COUNTY,790
074903,BONHAM ISD,FANNIN COUNTY,2029
074904,DODD CITY ISD,FANNIN COUNTY,308
074905,ECTOR ISD,FANNIN COUNTY,234
074907,HONEY GROVE ISD,FANNIN COUNTY,651
074909,LEONARD ISD,FANNIN COUNTY,815
074911,SAVOY ISD,FANNIN COUNTY,305
074912,TRENTON ISD,FANNIN COUNTY,712
074917,SAM RAYBURN ISD,FANNIN COUNTY,469
075901,FLATONIA ISD,FAYETTE COUNTY,676
075902,LA GRANGE ISD,FAYETTE COUNTY,1870
075903,SCHULENBURG ISD,FAYETTE COUNTY,684
075906,FAYETTEVILLE ISD,FAYETTE COUNTY,290
075908,ROUND TOP-CARMINE ISD,FAYETTE COUNTY,235
076903,ROBY CISD,FISHER COUNTY,297
076904,ROTAN ISD,FISHER COUNTY,273
077901,FLOYDADA COLLEGIATE ISD,FLOYD COUNTY,671
077902,LOCKNEY ISD,FLOYD COUNTY,391
078901,CROWELL ISD,FOARD COUNTY,189
079901,LAMAR CISD,FORT BEND COUNTY,46786
079906,NEEDVILLE ISD,FORT BEND COUNTY,3650
079907,FORT BEND ISD,FORT BEND COUNTY,79663
079910,STAFFORD MSD,FORT BEND COUNTY,3492
080901,MOUNT VERNON ISD,FRANKLIN COUNTY,1608
081902,FAIRFIELD ISD,FREESTONE COUNTY,1602
081904,TEAGUE ISD,FREESTONE COUNTY,1212
081905,WORTHAM ISD,FREESTONE COUNTY,535
081906,DEW ISD,FREESTONE COUNTY,171
082902,DILLEY ISD,FRIO COUNTY,841
082903,PEARSALL ISD,FRIO COUNTY,1953
083901,SEAGRAVES ISD,GAINES COUNTY,525
083902,LOOP ISD,GAINES COUNTY,150
083903,SEMINOLE ISD,GAINES COUNTY,3089
084901,DICKINSON ISD,GALVESTON COUNTY,12554
084902,GALVESTON ISD,GALVESTON COUNTY,6383
084903,HIGH ISLAND ISD,GALVESTON COUNTY,132
084906,TEXAS CITY ISD,GALVESTON COUNTY,7711
084908,HITCHCOCK ISD,GALVESTON COUNTY,2012
084909,SANTA FE ISD,GALVESTON COUNTY,4310
084910,CLEAR CREEK ISD,GALVESTON COUNTY,39684
084911,FRIENDSWOOD ISD,GALVESTON COUNTY,6194
085902,POST ISD,GARZA COUNTY,686
085903,SOUTHLAND ISD,GARZA COUNTY,132
086024,DOSS CONSOLIDATED CSD,GILLESPIE COUNTY,20
086901,FREDERICKSBURG ISD,GILLESPIE COUNTY,3030
086902,HARPER ISD,GILLESPIE COUNTY,591
087901,GLASSCOCK COUNTY ISD,GLASSCOCK COUNTY,293
088902,GOLIAD ISD,GOLIAD COUNTY,1244
089901,GONZALES ISD,GONZALES COUNTY,2557
089903,NIXON-SMILEY CISD,GONZALES COUNTY,1016
089905,WAELDER ISD,GONZALES COUNTY,302
090902,LEFORS ISD,GRAY COUNTY,173
090903,MCLEAN ISD,GRAY COUNTY,182
090904,PAMPA ISD,GRAY COUNTY,3141
090905,GRANDVIEW-HOPKINS ISD,GRAY COUNTY,49
091901,BELLS ISD,GRAYSON COUNTY,1007
091902,COLLINSVILLE ISD,GRAYSON COUNTY,600
091903,DENISON ISD,GRAYSON COUNTY,4977
091905,HOWE ISD,GRAYSON COUNTY,1265
091906,SHERMAN ISD,GRAYSON COUNTY,7788
091907,TIOGA ISD,GRAYSON COUNTY,664
091908,VAN ALSTYNE ISD,GRAYSON COUNTY,2612
091909,WHITESBORO ISD,GRAYSON COUNTY,1802
091910,WHITEWRIGHT ISD,GRAYSON COUNTY,801
091913,POTTSBORO ISD,GRAYSON COUNTY,1453
091914,S AND S CISD,GRAYSON COUNTY,944
091917,GUNTER ISD,GRAYSON COUNTY,1156
091918,TOM BEAN ISD,GRAYSON COUNTY,741
092801,EAST TEXAS CHARTER SCHOOLS,GREGG COUNTY,128
092901,GLADEWATER ISD,GREGG COUNTY,1636
092902,KILGORE ISD,GREGG COUNTY,3660
092903,LONGVIEW ISD,GREGG COUNTY,8138
092904,PINE TREE ISD,GREGG COUNTY,4439
092906,SABINE ISD,GREGG COUNTY,1583
092907,SPRING HILL ISD,GREGG COUNTY,1901
092908,WHITE OAK ISD,GREGG COUNTY,1428
093901,ANDERSON-SHIRO CISD,GRIMES COUNTY,979
093903,IOLA ISD,GRIMES COUNTY,626
093904,NAVASOTA ISD,GRIMES COUNTY,3117
093905,RICHARDS ISD,GRIMES COUNTY,249
094901,SEGUIN ISD,GUADALUPE COUNTY,7290
094902,SCHERTZ-CIBOLO-U CITY ISD,GUADALUPE COUNTY,14947
094903,NAVARRO ISD,GUADALUPE COUNTY,2702
094904,MARION ISD,GUADALUPE COUNTY,1709
095901,ABERNATHY ISD,HALE COUNTY,808
095902,COTTON CENTER ISD,HALE COUNTY,100
095903,HALE CENTER ISD,HALE COUNTY,561
095904,PETERSBURG ISD,HALE COUNTY,243
095905,PLAINVIEW ISD,HALE COUNTY,4077
096904,MEMPHIS ISD,HALL COUNTY,345
096905,TURKEY-QUITAQUE ISD,HALL COUNTY,180
097902,HAMILTON ISD,HAMILTON COUNTY,823
097903,HICO ISD,HAMILTON COUNTY,627
098901,GRUVER ISD,HANSFORD COUNTY,409
098903,PRINGLE-MORSE CISD,HANSFORD COUNTY,128
098904,SPEARMAN ISD,HANSFORD COUNTY,692
099902,CHILLICOTHE ISD,HARDEMAN COUNTY,189
099903,QUANAH ISD,HARDEMAN COUNTY,434
100903,KOUNTZE ISD,HARDIN COUNTY,1151
100904,SILSBEE ISD,HARDIN COUNTY,2588
100905,HARDIN-JEFFERSON ISD,HARDIN COUNTY,2762
100907,LUMBERTON ISD,HARDIN COUNTY,4108
100908,WEST HARDIN COUNTY CISD,HARDIN COUNTY,535
101802,SER-NINOS CHARTER SCHOOL,HARRIS COUNTY,1193
101804,GEORGE I SANCHEZ CHARTER,HARRIS COUNTY,1120
101837,CALVIN NELMS CHARTER SCHOOLS,HARRIS COUNTY,343
101847,BEATRICE MAYES INSTITUTE CHARTER SCHOOL,HARRIS COUNTY,558
101855,MEYERPARK CHARTER,HARRIS COUNTY,296
101859,STEP CHARTER SCHOOL,HARRIS COUNTY,693
101872,ETOILE ACADEMY CHARTER SCHOOL,HARRIS COUNTY,979
101875,BLOOM ACADEMY CHARTER SCHOOL,HARRIS COUNTY,302
101877,ELEVATE COLLEGIATE CHARTER SCHOOL,HARRIS COUNTY,192
101878,HOUSTON CLASSICAL CHARTER SCHOOL,HARRIS COUNTY,342
101902,ALDINE ISD,HARRIS COUNTY,56419
101903,ALIEF ISD,HARRIS COUNTY,38610
101905,CHANNELVIEW ISD,HARRIS COUNTY,9335
101906,CROSBY ISD,HARRIS COUNTY,7046
101907,CYPRESS-FAIRBANKS ISD,HARRIS COUNTY,117927
101908,DEER PARK ISD,HARRIS COUNTY,12165
101910,GALENA PARK ISD,HARRIS COUNTY,20862
101911,GOOSE CREEK CISD,HARRIS COUNTY,24032
101912,HOUSTON ISD,HARRIS COUNTY,176727
101913,HUMBLE ISD,HARRIS COUNTY,48502
101914,KATY ISD,HARRIS COUNTY,96111
101915,KLEIN ISD,HARRIS COUNTY,52437
101916,LA PORTE ISD,HARRIS COUNTY,7099
101917,PASADENA ISD,HARRIS COUNTY,46491
101919,SPRING ISD,HARRIS COUNTY,33590
101920,SPRING BRANCH ISD,HARRIS COUNTY,32668
101921,TOMBALL ISD,HARRIS COUNTY,22913
101924,SHELDON ISD,HARRIS COUNTY,10946
101925,HUFFMAN ISD,HARRIS COUNTY,3646
102901,KARNACK ISD,HARRISON COUNTY,119
102902,MARSHALL ISD,HARRISON COUNTY,4957
102903,WASKOM ISD,HARRISON COUNTY,806
102904,HALLSVILLE ISD,HARRISON COUNTY,24602
102905,HARLETON ISD,HARRISON COUNTY,705
102906,ELYSIAN FIELDS ISD,HARRISON COUNTY,775
103901,CHANNING ISD,HARTLEY COUNTY,121
103902,HARTLEY ISD,HARTLEY COUNTY,236
104901,HASKELL CISD,HASKELL COUNTY,544
104903,RULE ISD,HASKELL COUNTY,138
104907,PAINT CREEK ISD,HASKELL COUNTY,111
105803,KI CHARTER,HAYS COUNTY,448
105902,SAN MARCOS CISD,HAYS COUNTY,8222
105904,DRIPPING SPRINGS ISD,HAYS COUNTY,8712
105905,WIMBERLEY ISD,HAYS COUNTY,2661
105906,HAYS CISD,HAYS COUNTY,24330
106901,CANADIAN ISD,HEMPHILL COUNTY,758
107901,ATHENS ISD,HENDERSON COUNTY,3029
107902,BROWNSBORO ISD,HENDERSON COUNTY,2560
107904,CROSS ROADS ISD,HENDERSON COUNTY,558
107905,EUSTACE ISD,HENDERSON COUNTY,1711
107906,MALAKOFF ISD,HENDERSON COUNTY,1511
107907,TRINIDAD ISD,HENDERSON COUNTY,173
107908,MURCHISON ISD,HENDERSON COUNTY,169
107910,LAPOYNOR ISD,HENDERSON COUNTY,479
108902,DONNA ISD,HIDALGO COUNTY,12937
108903,EDCOUCH-ELSA ISD,HIDALGO COUNTY,4349
108904,EDINBURG CISD,HIDALGO COUNTY,33343
108905,HIDALGO ISD,HIDALGO COUNTY,2918
108906,MCALLEN ISD,HIDALGO COUNTY,19890
108907,MERCEDES ISD,HIDALGO COUNTY,4207
108908,MISSION CISD,HIDALGO COUNTY,13765
108909,PHARR-SAN JUAN-ALAMO ISD,HIDALGO COUNTY,29613
108910,PROGRESO ISD,HIDALGO COUNTY,1339
108911,SHARYLAND ISD,HIDALGO COUNTY,9844
108912,LA JOYA ISD,HIDALGO COUNTY,22942
108913,WESLACO ISD,HIDALGO COUNTY,16300
108914,LA VILLA ISD,HIDALGO COUNTY,512
108915,MONTE ALTO ISD,HIDALGO COUNTY,819
108916,VALLEY VIEW ISD,HIDALGO COUNTY,3444
109901,ABBOTT ISD,HILL COUNTY,284
109902,BYNUM ISD,HILL COUNTY,187
109903,COVINGTON ISD,HILL COUNTY,353
109904,HILLSBORO ISD,HILL COUNTY,1984
109905,HUBBARD ISD,HILL COUNTY,417
109907,ITASCA ISD,HILL COUNTY,638
109908,MALONE ISD,HILL COUNTY,63
109910,MOUNT CALM ISD,HILL COUNTY,168
109911,WHITNEY ISD,HILL COUNTY,1454
109912,AQUILLA ISD,HILL COUNTY,332
109913,BLUM ISD,HILL COUNTY,334
109914,PENELOPE ISD,HILL COUNTY,216
