district_id,district_name,county,enrollment,status,notes
227912,Everman ISD,Tarrant,7000,pending,DUPLICATE_NAME: Conflicting with ID 227908
227913,Grand Prairie ISD,Dallas,33000,processed,
246901,Round Rock ISD,Williamson,47000,processed,
246902,Del Valle ISD,Travis,11000,processed,
246903,Hays CISD,Hays,23000,processed,
246904,Leander ISD,Williamson,41000,processed,
246905,Manor ISD,Travis,13000,processed,
246906,Georgetown ISD,Williamson,14000,processed,
246907,San Marcos CISD,Hays,9000,processed,
246908,Jarrell ISD,Williamson,3000,processed,
246909,Pflugerville ISD,Travis,27000,processed,
246910,Taylor ISD,Williamson,2000,processed,
246911,Lago Vista ISD,Travis,2000,processed,
246912,Lake Travis ISD,Travis,12000,processed,
